official_area_id,official_area_name,official_unique_edge_count,overlap_total_edges,primary_compact_zone,primary_share,secondary_compact_zones,is_split,fallback_used,share_cz1,share_cz2,share_cz3,share_cz4,overlap_cz1,overlap_cz2,overlap_cz3,overlap_cz4
8,NEAR NORTH SIDE,8,8,cz1,0.375,cz3|cz4,yes,no,0.375,0.0,0.375,0.25,3,0,3,2
24,WEST TOWN,3,3,cz3,0.666667,cz1,yes,no,0.333333,0.0,0.666667,0.0,1,0,2,0
28,NEAR WEST SIDE,8,8,cz3,0.5,cz1|cz4,yes,no,0.25,0.0,0.5,0.25,2,0,4,2
32,LOOP,11,11,cz2,0.545455,,no,no,0.181818,0.545455,0.090909,0.181818,2,6,1,2
33,NEAR SOUTH SIDE,4,4,cz2,0.75,cz1,yes,no,0.25,0.75,0.0,0.0,1,3,0,0
